"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K15928",0.236985827702039,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K18067",0.340678798991463,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K19837",0.236985827702039,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K20713",0.236985827702039,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K22369",0.236985827702039,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K22457",0.28677296605688,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K01758",30.3015165039281,-0.126276780031715,0.398525645401735,-0.316859859556645,0.75134994118355,0.860681229104905
"ko:K16880",0.682543462258278,-0.711497374198242,2.24920475224745,-0.316332860975552,0.751749871316966,NA
"ko:K11616",0.469616747379205,0.941474025418983,2.97741386298149,0.316205293837189,0.751846689845213,NA
"ko:K18954",0.469616747379205,0.941474025418983,2.97741386298149,0.316205293837189,0.751846689845213,NA
"ko:K01664",6.00726823813138,-0.257939159119947,0.816687853191396,-0.315835674685243,0.752127238544379,0.861358108875731
"ko:K13811",1.04751758751784,0.770743254314873,2.44334615464738,0.315445788493324,0.752423205847821,NA
"ko:K07100",17.3514407432414,-0.202788980533232,0.642906942004787,-0.31542509076177,0.752438918762992,0.861501546978143
"ko:K09962",0.347976368939471,-1.08694525043311,3.44667347531026,-0.315360668255721,0.752487826487913,NA
"ko:K21676",0.319675214781443,-1.00889732550832,3.20300445532379,-0.314984677536557,0.752773287709967,NA
"ko:K21417",34.9956871536855,-0.109835835284881,0.348985966932766,-0.314728515447849,0.752967791511855,0.861814595560854
"ko:K07115",2.7085878545143,0.378702216985502,1.20437639944675,0.31443842403377,0.753188076775366,0.861814595560854
"ko:K06959",36.8389722844653,0.135775701052136,0.432170797911876,0.314171391746424,0.753390869507728,0.861814595560854
"ko:K00528",33.7360632198693,-0.125025351400513,0.398065245815889,-0.314082559868436,0.753458335006676,0.861814595560854
"ko:K19540",0.796550114682972,0.834900321637419,2.66157319826186,0.313686778249289,0.753758943713308,NA
"ko:K03744",34.1859735890976,0.132766394148195,0.424026608032339,0.313108639017458,0.754198125885619,0.862447300103302
"ko:K19092",0.660354013772906,-0.693284658464204,2.21486494140275,-0.313014417043923,0.754269708935034,NA
"ko:K10009",1.02130718763039,-0.563915842261388,1.80578582350779,-0.312282793961671,0.754825615103559,NA
"ko:K02638",15.2950426091734,-0.169103814314177,0.543265196827494,-0.31127304915112,0.755593053942728,0.863828674485242
"ko:K08475",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K09127",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K09866",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K10019",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
